Region,Population,Year,Age
Ashburton district,1760,1996,0-4 Years
Timaru district,2950,1996,0-4 Years
Mackenzie district,330,1996,0-4 Years
Waimate district,590,1996,0-4 Years
Chatham Islands territory,80,1996,0-4 Years
Waitaki district,1490,1996,0-4 Years
Central Otago district,1070,1996,0-4 Years
Queenstown-Lakes district,1000,1996,0-4 Years
Dunedin city,7550,1996,0-4 Years
Clutha district,1510,1996,0-4 Years
Southland district,2520,1996,0-4 Years
Gore district,1040,1996,0-4 Years
Invercargill city,4040,1996,0-4 Years
Area outside territorial authority,10,1996,0-4 Years
