Region,Population,Year,Age
Dunedin City,5790,2028,0-4 years
Clutha District,1090,2028,0-4 years
Southland District,1850,2028,0-4 years
Gore District,640,2028,0-4 years
Invercargill City,2950,2028,0-4 years
Far North District,4550,2033,0-4 years
Whangarei District,6030,2033,0-4 years
Kaipara District,1610,2033,0-4 years
Auckland,100160,2033,0-4 years
Thames-Coromandel District,1290,2033,0-4 years
Hauraki District,1110,2033,0-4 years
Waikato District,6680,2033,0-4 years
Matamata-Piako District,2400,2033,0-4 years
Hamilton City,12890,2033,0-4 years
Waipa District,3540,2033,0-4 years
Otorohanga District,670,2033,0-4 years
South Waikato District,1860,2033,0-4 years
Waitomo District,610,2033,0-4 years
Taupo District,2410,2033,0-4 years
Western Bay of Plenty District,3210,2033,0-4 years
Tauranga City,9850,2033,0-4 years
Rotorua District,4640,2033,0-4 years
Whakatane District,2390,2033,0-4 years
Kawerau District,530,2033,0-4 years
Opotiki District,750,2033,0-4 years
Gisborne District,3340,2033,0-4 years
Wairoa District,670,2033,0-4 years
Hastings District,5670,2033,0-4 years
Napier City,3660,2033,0-4 years
Central Hawke's Bay District,970,2033,0-4 years
New Plymouth District,4860,2033,0-4 years
Stratford District,630,2033,0-4 years
South Taranaki District,1730,2033,0-4 years
Ruapehu District,760,2033,0-4 years
Whanganui District,2730,2033,0-4 years
Rangitikei District,1050,2033,0-4 years
Manawatu District,1920,2033,0-4 years
Palmerston North City,5340,2033,0-4 years
Tararua District,1120,2033,0-4 years
Horowhenua District,2170,2033,0-4 years
Kapiti Coast District,2670,2033,0-4 years
Porirua City,4090,2033,0-4 years
Upper Hutt City,2810,2033,0-4 years
Lower Hutt City,6930,2033,0-4 years
Wellington City,10080,2033,0-4 years
Masterton District,1710,2033,0-4 years
Carterton District,590,2033,0-4 years
South Wairarapa District,630,2033,0-4 years
Tasman District,2940,2033,0-4 years
Nelson City,2350,2033,0-4 years
Marlborough District,2330,2033,0-4 years
Kaikoura District,190,2033,0-4 years
Buller District,390,2033,0-4 years
Grey District,760,2033,0-4 years
Westland District,380,2033,0-4 years
Hurunui District,690,2033,0-4 years
Waimakariri District,3760,2033,0-4 years
Christchurch City,20870,2033,0-4 years
Selwyn District,5580,2033,0-4 years
Ashburton District,2170,2033,0-4 years
Timaru District,2260,2033,0-4 years
Mackenzie District,290,2033,0-4 years
Waimate District,420,2033,0-4 years
Chatham Islands Territory,50,2033,0-4 years
Waitaki District,1060,2033,0-4 years
Central Otago District,1300,2033,0-4 years
Queenstown-Lakes District,2620,2033,0-4 years
Dunedin City,5650,2033,0-4 years
Clutha District,1070,2033,0-4 years
Southland District,1790,2033,0-4 years
Gore District,620,2033,0-4 years
Invercargill City,2930,2033,0-4 years
Far North District,4620,2038,0-4 years
Whangarei District,6070,2038,0-4 years
Kaipara District,1590,2038,0-4 years
Auckland,103050,2038,0-4 years
Thames-Coromandel District,1260,2038,0-4 years
Hauraki District,1070,2038,0-4 years
Waikato District,7000,2038,0-4 years
Matamata-Piako District,2300,2038,0-4 years
Hamilton City,13060,2038,0-4 years
Waipa District,3480,2038,0-4 years
Otorohanga District,690,2038,0-4 years
South Waikato District,1830,2038,0-4 years
Waitomo District,590,2038,0-4 years
Taupo District,2370,2038,0-4 years
Western Bay of Plenty District,3100,2038,0-4 years
Tauranga City,9920,2038,0-4 years
Rotorua District,4550,2038,0-4 years
Whakatane District,2320,2038,0-4 years
Kawerau District,500,2038,0-4 years
Opotiki District,720,2038,0-4 years
Gisborne District,3250,2038,0-4 years
Wairoa District,670,2038,0-4 years
Hastings District,5740,2038,0-4 years
Napier City,3640,2038,0-4 years
Central Hawke's Bay District,1000,2038,0-4 years
New Plymouth District,4850,2038,0-4 years
Stratford District,590,2038,0-4 years
South Taranaki District,1670,2038,0-4 years
Ruapehu District,720,2038,0-4 years
Whanganui District,2610,2038,0-4 years
Rangitikei District,1040,2038,0-4 years
Manawatu District,1790,2038,0-4 years
Palmerston North City,5240,2038,0-4 years
Tararua District,1100,2038,0-4 years
Horowhenua District,2100,2038,0-4 years
Kapiti Coast District,2680,2038,0-4 years
Porirua City,4070,2038,0-4 years
Upper Hutt City,2690,2038,0-4 years
Lower Hutt City,6690,2038,0-4 years
Wellington City,10390,2038,0-4 years
Masterton District,1610,2038,0-4 years
Carterton District,620,2038,0-4 years
South Wairarapa District,630,2038,0-4 years
Tasman District,2940,2038,0-4 years
Nelson City,2310,2038,0-4 years
Marlborough District,2320,2038,0-4 years
Kaikoura District,180,2038,0-4 years
Buller District,350,2038,0-4 years
Grey District,700,2038,0-4 years
Westland District,350,2038,0-4 years
Hurunui District,690,2038,0-4 years
Waimakariri District,3860,2038,0-4 years
Christchurch City,20780,2038,0-4 years
Selwyn District,5760,2038,0-4 years
Ashburton District,2130,2038,0-4 years
Timaru District,2160,2038,0-4 years
Mackenzie District,260,2038,0-4 years
Waimate District,420,2038,0-4 years
Chatham Islands Territory,50,2038,0-4 years
Waitaki District,1050,2038,0-4 years
Central Otago District,1290,2038,0-4 years
Queenstown-Lakes District,2580,2038,0-4 years
Dunedin City,5670,2038,0-4 years
Clutha District,1030,2038,0-4 years
Southland District,1750,2038,0-4 years
Gore District,590,2038,0-4 years
Invercargill City,2950,2038,0-4 years
Far North District,4740,2043,0-4 years
Whangarei District,6260,2043,0-4 years
Kaipara District,1660,2043,0-4 years
Auckland,106990,2043,0-4 years
Thames-Coromandel District,1220,2043,0-4 years
Hauraki District,1070,2043,0-4 years
Waikato District,7430,2043,0-4 years
Matamata-Piako District,2230,2043,0-4 years
Hamilton City,13660,2043,0-4 years
Waipa District,3510,2043,0-4 years
Otorohanga District,700,2043,0-4 years
South Waikato District,1840,2043,0-4 years
Waitomo District,560,2043,0-4 years
Taupo District,2390,2043,0-4 years
Western Bay of Plenty District,3100,2043,0-4 years
Tauranga City,10420,2043,0-4 years
Rotorua District,4570,2043,0-4 years
