Region,Population,Year,Age,65 and over,Generation
Mangere-Otahuhu Local Board Area,7350,2023,20-24 Years,False,Gen Z
Howick Local Board Area,9390,2023,20-24 Years,False,Gen Z
Maungakiekie-Tamaki Local Board Area,5920,2023,20-24 Years,False,Gen Z
Orakei Local Board Area,5060,2023,20-24 Years,False,Gen Z
Puketapapa Local Board Area,4330,2023,20-24 Years,False,Gen Z
Albert-Eden Local Board Area,7220,2023,20-24 Years,False,Gen Z
Whau Local Board Area,5530,2023,20-24 Years,False,Gen Z
Waitemata Local Board Area,8310,2023,20-24 Years,False,Gen Z
Waiheke Local Board Area,310,2023,20-24 Years,False,Gen Z
Aotea/great Barrier Local Board Area,25,2023,20-24 Years,False,Gen Z
Waitakere Ranges Local Board Area,3340,2023,20-24 Years,False,Gen Z
Henderson-Massey Local Board Area,8480,2023,20-24 Years,False,Gen Z
Devonport-Takapuna Local Board Area,3520,2023,20-24 Years,False,Gen Z
Kaipatiki Local Board Area,5760,2023,20-24 Years,False,Gen Z
Upper Harbour Local Board Area,4730,2023,20-24 Years,False,Gen Z
Rodney Local Board Area,3890,2023,20-24 Years,False,Gen Z
Auckland,113250,2023,20-24 Years,False,Gen Z
Kaipara District,1040,2023,20-24 Years,False,Gen Z
Whangarei District,4810,2023,20-24 Years,False,Gen Z
Far North District,3460,2023,20-24 Years,False,Gen Z
"Total, New Zealand",326740,2023,20-24 Years,False,Gen Z
Hibiscus And Bays Local Board Area,6070,2023,20-24 Years,False,Gen Z
Otara-Papatoetoe Local Board Area,9130,2023,25-29 Years,False,Gen Z
Horowhenua District,1960,2023,25-29 Years,False,Gen Z
Tararua District,970,2023,25-29 Years,False,Gen Z
Palmerston North City,7210,2023,25-29 Years,False,Gen Z
Manawatu District,1980,2023,25-29 Years,False,Gen Z
Rangitikei District,880,2023,25-29 Years,False,Gen Z
Whanganui District,2670,2023,25-29 Years,False,Gen Z
Ruapehu District,750,2023,25-29 Years,False,Gen Z
South Taranaki District,1450,2023,25-29 Years,False,Gen Z
Stratford District,570,2023,25-29 Years,False,Gen Z
New Plymouth District,4670,2023,25-29 Years,False,Gen Z
Central Hawke's Bay District,720,2023,25-29 Years,False,Gen Z
Napier City,3790,2023,25-29 Years,False,Gen Z
Hastings District,5730,2023,25-29 Years,False,Gen Z
Wairoa District,560,2023,25-29 Years,False,Gen Z
Kapiti Coast District,2450,2023,25-29 Years,False,Gen Z
Gisborne District,3150,2023,25-29 Years,False,Gen Z
Kawerau District,410,2023,25-29 Years,False,Gen Z
Whakatane District,2070,2023,25-29 Years,False,Gen Z
Rotorua District,5130,2023,25-29 Years,False,Gen Z
Tauranga City,9680,2023,25-29 Years,False,Gen Z
Western Bay of Plenty District,2980,2023,25-29 Years,False,Gen Z
Taupo District,2200,2023,25-29 Years,False,Gen Z
Waitomo District,600,2023,25-29 Years,False,Gen Z
South Waikato District,1620,2023,25-29 Years,False,Gen Z
Otorohanga District,700,2023,25-29 Years,False,Gen Z
Waipa District,3420,2023,25-29 Years,False,Gen Z
Hamilton City,15970,2023,25-29 Years,False,Gen Z
Matamata-Piako District,2300,2023,25-29 Years,False,Gen Z
Waikato District,4820,2023,25-29 Years,False,Gen Z
Hauraki District,980,2023,25-29 Years,False,Gen Z
Opotiki District,650,2023,25-29 Years,False,Gen Z
Thames-Coromandel District,1180,2023,25-29 Years,False,Gen Z
Porirua City,3890,2023,25-29 Years,False,Gen Z
Lower Hutt City,8130,2023,25-29 Years,False,Gen Z
Area Outside Territorial Authority,5,2023,25-29 Years,False,Gen Z
Invercargill City,3540,2023,25-29 Years,False,Gen Z
Gore District,750,2023,25-29 Years,False,Gen Z
Southland District,1900,2023,25-29 Years,False,Gen Z
Clutha District,1110,2023,25-29 Years,False,Gen Z
Dunedin City,8350,2023,25-29 Years,False,Gen Z
Queenstown-Lakes District,5840,2023,25-29 Years,False,Gen Z
Central Otago District,1460,2023,25-29 Years,False,Gen Z
Waitaki District,1360,2023,25-29 Years,False,Gen Z
Chatham Islands Territory,60,2023,25-29 Years,False,Gen Z
Waimate District,420,2023,25-29 Years,False,Gen Z
Mackenzie District,450,2023,25-29 Years,False,Gen Z
Timaru District,2790,2023,25-29 Years,False,Gen Z
