Region,Population,Year,Age,65 and over,Generation
Henderson-Massey Local Board Area,7780,1996,0-4 Years,False,Millennial
Devonport-Takapuna Local Board Area,3080,1996,0-4 Years,False,Millennial
Kaipatiki Local Board Area,5570,1996,0-4 Years,False,Millennial
Upper Harbour Local Board Area,1990,1996,0-4 Years,False,Millennial
Hibiscus And Bays Local Board Area,4460,1996,0-4 Years,False,Millennial
Rodney Local Board Area,2980,1996,0-4 Years,False,Millennial
Auckland,91160,1996,0-4 Years,False,Millennial
Kaipara District,1500,1996,0-4 Years,False,Millennial
Whangarei District,5720,1996,0-4 Years,False,Millennial
Far North District,4910,1996,0-4 Years,False,Millennial
Area Outside Territorial Authority,5,2006,0-4 Years,False,Gen Z
Waitemata Local Board Area,2340,1996,0-4 Years,False,Millennial
Tasman District,2890,1996,0-4 Years,False,Millennial
Waipa District,3020,1996,0-4 Years,False,Millennial
South Waikato District,2720,1996,0-4 Years,False,Millennial
Carterton District,500,1996,0-4 Years,False,Millennial
Masterton District,1860,1996,0-4 Years,False,Millennial
Wellington City,11300,1996,0-4 Years,False,Millennial
Lower Hutt City,8310,1996,0-4 Years,False,Millennial
Upper Hutt City,2990,1996,0-4 Years,False,Millennial
Porirua City,4700,1996,0-4 Years,False,Millennial
Kapiti Coast District,2700,1996,0-4 Years,False,Millennial
Horowhenua District,2460,1996,0-4 Years,False,Millennial
Tararua District,1720,1996,0-4 Years,False,Millennial
Palmerston North City,5670,1996,0-4 Years,False,Millennial
Manawatu District,2140,1996,0-4 Years,False,Millennial
Rangitikei District,1460,1996,0-4 Years,False,Millennial
Whanganui District,3610,1996,0-4 Years,False,Millennial
Ruapehu District,1800,1996,0-4 Years,False,Millennial
Otorohanga District,870,1996,0-4 Years,False,Millennial
South Taranaki District,2590,1996,0-4 Years,False,Millennial
New Plymouth District,5250,1996,0-4 Years,False,Millennial
Central Hawke's Bay District,1070,1996,0-4 Years,False,Millennial
Napier City,4210,1996,0-4 Years,False,Millennial
Hastings District,5810,1996,0-4 Years,False,Millennial
Wairoa District,1010,1996,0-4 Years,False,Millennial
Gisborne District,4440,1996,0-4 Years,False,Millennial
Opotiki District,1030,1996,0-4 Years,False,Millennial
Kawerau District,950,1996,0-4 Years,False,Millennial
Whakatane District,3280,1996,0-4 Years,False,Millennial
Rotorua District,6190,1996,0-4 Years,False,Millennial
Tauranga City,5770,1996,0-4 Years,False,Millennial
Western Bay of Plenty District,2740,1996,0-4 Years,False,Millennial
Taupo District,2840,1996,0-4 Years,False,Millennial
Waitomo District,940,1996,0-4 Years,False,Millennial
Stratford District,800,1996,0-4 Years,False,Millennial
Hastings District,5570,2001,0-4 Years,False,Gen Z
Kaikoura District,270,1996,0-4 Years,False,Millennial
Gore District,790,2006,0-4 Years,False,Gen Z
Rangitikei District,1010,2006,0-4 Years,False,Gen Z
Whanganui District,2780,2006,0-4 Years,False,Gen Z
Ruapehu District,1080,2006,0-4 Years,False,Gen Z
South Taranaki District,2040,2006,0-4 Years,False,Gen Z
Stratford District,640,2006,0-4 Years,False,Gen Z
New Plymouth District,4390,2006,0-4 Years,False,Gen Z
Central Hawke's Bay District,880,2006,0-4 Years,False,Gen Z
Napier City,3740,2006,0-4 Years,False,Gen Z
Hastings District,5450,2006,0-4 Years,False,Gen Z
Wairoa District,700,2006,0-4 Years,False,Gen Z
Gisborne District,3750,2006,0-4 Years,False,Gen Z
Opotiki District,710,2006,0-4 Years,False,Gen Z
Kawerau District,620,2006,0-4 Years,False,Gen Z
Whakatane District,2590,2006,0-4 Years,False,Gen Z
Palmerston North City,5390,2006,0-4 Years,False,Gen Z
Rotorua District,5450,2006,0-4 Years,False,Gen Z
Western Bay of Plenty District,2560,2006,0-4 Years,False,Gen Z
Taupo District,2350,2006,0-4 Years,False,Gen Z
Waitomo District,770,2006,0-4 Years,False,Gen Z
South Waikato District,1780,2006,0-4 Years,False,Gen Z
Otorohanga District,690,2006,0-4 Years,False,Gen Z
Waipa District,2980,2006,0-4 Years,False,Gen Z
Hamilton City,9980,2006,0-4 Years,False,Gen Z
Matamata-Piako District,2180,2006,0-4 Years,False,Gen Z
Waikato District,4720,2006,0-4 Years,False,Gen Z
Hauraki District,1150,2006,0-4 Years,False,Gen Z
Thames-Coromandel District,1410,2006,0-4 Years,False,Gen Z
Franklin Local Board Area,4480,2006,0-4 Years,False,Gen Z
Papakura Local Board Area,3640,2006,0-4 Years,False,Gen Z
Manurewa Local Board Area,8120,2006,0-4 Years,False,Gen Z
Tauranga City,7160,2006,0-4 Years,False,Gen Z
Otara-Papatoetoe Local Board Area,7280,2006,0-4 Years,False,Gen Z
Tararua District,1340,2006,0-4 Years,False,Gen Z
Kapiti Coast District,2690,2006,0-4 Years,False,Gen Z
Napier City,3780,2001,0-4 Years,False,Gen Z
Southland District,2080,2006,0-4 Years,False,Gen Z
Clutha District,1210,2006,0-4 Years,False,Gen Z
Dunedin City,6370,2006,0-4 Years,False,Gen Z
Queenstown-Lakes District,1370,2006,0-4 Years,False,Gen Z
Central Otago District,1010,2006,0-4 Years,False,Gen Z
Waitaki District,1130,2006,0-4 Years,False,Gen Z
Chatham Islands Territory,55,2006,0-4 Years,False,Gen Z
Waimate District,410,2006,0-4 Years,False,Gen Z
Mackenzie District,240,2006,0-4 Years,False,Gen Z
Timaru District,2380,2006,0-4 Years,False,Gen Z
Ashburton District,1790,2006,0-4 Years,False,Gen Z
Selwyn District,2480,2006,0-4 Years,False,Gen Z
Christchurch City,22370,2006,0-4 Years,False,Gen Z
Horowhenua District,1940,2006,0-4 Years,False,Gen Z
Waimakariri District,2930,2006,0-4 Years,False,Gen Z
Westland District,520,2006,0-4 Years,False,Gen Z
Grey District,880,2006,0-4 Years,False,Gen Z
Buller District,560,2006,0-4 Years,False,Gen Z
Kaikoura District,200,2006,0-4 Years,False,Gen Z
Marlborough District,2430,2006,0-4 Years,False,Gen Z
Nelson City,2600,2006,0-4 Years,False,Gen Z
Tasman District,2970,2006,0-4 Years,False,Gen Z
South Wairarapa District,600,2006,0-4 Years,False,Gen Z
